,product_category_name_english,customer_state,avg_freight_cost,total_late_deliveries,combined_label
200,garden_tools,SE,38.83,8.0,SE - garden_tools
201,perfumery,RS,18.25,8.0,RS - perfumery
202,stationery,SC,22.32,8.0,SC - stationery
203,computers_accessories,PB,30.59,8.0,PB - computers_accessories
204,bed_bath_table,PE,35.52,8.0,PE - bed_bath_table
205,watches_gifts,DF,19.32,8.0,DF - watches_gifts
206,electronics,PR,15.75,8.0,PR - electronics
207,bed_bath_table,MS,19.88,8.0,MS - bed_bath_table
208,toys,CE,31.29,8.0,CE - toys
209,computers_accessories,AL,31.89,8.0,AL - computers_accessories
210,auto,PI,52.69,8.0,PI - auto
211,health_beauty,TO,34.09,8.0,TO - health_beauty
212,pet_shop,PR,18.91,8.0,PR - pet_shop
213,garden_tools,PA,47.73,8.0,PA - garden_tools
214,cool_stuff,MA,41.99,8.0,MA - cool_stuff
215,office_furniture,MA,88.95,8.0,MA - office_furniture
216,watches_gifts,GO,18.87,8.0,GO - watches_gifts
217,watches_gifts,PI,31.89,8.0,PI - watches_gifts
218,health_beauty,SE,32.47,8.0,SE - health_beauty
219,electronics,CE,27.33,8.0,CE - electronics
220,baby,SC,26.57,8.0,SC - baby
221,watches_gifts,AL,29.99,7.0,AL - watches_gifts
222,books_technical,ES,17.35,7.0,ES - books_technical
223,pet_shop,RS,25.84,7.0,RS - pet_shop
224,auto,MA,44.27,7.0,MA - auto
225,fashion_bags_accessories,PR,16.17,7.0,PR - fashion_bags_accessories
226,baby,PR,22.38,7.0,PR - baby
227,furniture_decor,RN,38.77,7.0,RN - furniture_decor
228,industry_commerce_and_business,SP,22.24,7.0,SP - industry_commerce_and_business
229,perfumery,PE,28.55,7.0,PE - perfumery
230,cool_stuff,PE,35.62,7.0,PE - cool_stuff
231,telephony,AL,27.13,7.0,AL - telephony
232,,CE,27.21,7.0,
233,health_beauty,MT,28.0,7.0,MT - health_beauty
234,baby,CE,36.66,7.0,CE - baby
235,perfumery,MT,20.08,7.0,MT - perfumery
236,furniture_decor,CE,33.39,7.0,CE - furniture_decor
237,signaling_and_security,SP,18.24,7.0,SP - signaling_and_security
238,pet_shop,SC,20.68,7.0,SC - pet_shop
239,bed_bath_table,MA,38.61,7.0,MA - bed_bath_table
240,toys,ES,19.43,7.0,ES - toys
241,auto,PE,32.89,7.0,PE - auto
242,office_furniture,PR,48.7,7.0,PR - office_furniture
243,cool_stuff,PR,21.02,7.0,PR - cool_stuff
244,furniture_decor,PE,29.17,7.0,PE - furniture_decor
245,furniture_decor,PB,43.33,7.0,PB - furniture_decor
246,baby,PE,34.74,7.0,PE - baby
247,furniture_decor,SE,45.01,7.0,SE - furniture_decor
248,computers_accessories,PA,32.94,7.0,PA - computers_accessories
249,cool_stuff,PA,33.89,7.0,PA - cool_stuff
250,fashion_bags_accessories,BA,19.45,7.0,BA - fashion_bags_accessories
251,fashion_underwear_beach,RJ,15.41,7.0,RJ - fashion_underwear_beach
252,garden_tools,MA,41.29,7.0,MA - garden_tools
253,books_general_interest,RJ,15.9,7.0,RJ - books_general_interest
254,perfumery,BA,21.59,7.0,BA - perfumery
255,bed_bath_table,PI,39.76,7.0,PI - bed_bath_table
256,furniture_decor,MT,27.06,6.0,MT - furniture_decor
257,watches_gifts,MS,17.37,6.0,MS - watches_gifts
258,,BA,26.96,6.0,
259,perfumery,ES,16.96,6.0,ES - perfumery
260,air_conditioning,RJ,23.72,6.0,RJ - air_conditioning
261,housewares,CE,38.34,6.0,CE - housewares
262,small_appliances,RJ,26.07,6.0,RJ - small_appliances
263,perfumery,AL,31.44,6.0,AL - perfumery
264,construction_tools_construction,MG,21.46,6.0,MG - construction_tools_construction
265,consoles_games,BA,20.67,6.0,BA - consoles_games
266,baby,ES,24.75,6.0,ES - baby
267,christmas_supplies,PA,38.37,6.0,PA - christmas_supplies
268,office_furniture,MG,46.13,6.0,MG - office_furniture
269,perfumery,DF,16.17,6.0,DF - perfumery
270,watches_gifts,SE,29.75,6.0,SE - watches_gifts
271,toys,PE,32.19,6.0,PE - toys
272,consoles_games,RS,18.94,6.0,RS - consoles_games
273,telephony,PI,29.25,6.0,PI - telephony
274,construction_tools_lights,SC,21.91,6.0,SC - construction_tools_lights
275,musical_instruments,MG,29.24,6.0,MG - musical_instruments
276,toys,SC,20.04,6.0,SC - toys
277,furniture_decor,PA,41.12,6.0,PA - furniture_decor
278,sports_leisure,MT,25.72,6.0,MT - sports_leisure
279,fashion_bags_accessories,PA,25.81,6.0,PA - fashion_bags_accessories
280,luggage_accessories,BA,34.04,5.0,BA - luggage_accessories
281,toys,MT,31.38,5.0,MT - toys
282,watches_gifts,RN,32.56,5.0,RN - watches_gifts
283,costruction_tools_garden,SP,17.49,5.0,SP - costruction_tools_garden
284,auto,DF,24.15,5.0,DF - auto
285,home_appliances,RJ,19.86,5.0,RJ - home_appliances
286,electronics,DF,16.47,5.0,DF - electronics
287,computers_accessories,RO,35.51,5.0,RO - computers_accessories
288,small_appliances,MG,23.72,5.0,MG - small_appliances
289,stationery,PA,29.79,5.0,PA - stationery
290,market_place,SP,12.74,5.0,SP - market_place
291,computers,SP,40.31,5.0,SP - computers
292,perfumery,GO,17.51,5.0,GO - perfumery
293,consoles_games,SC,19.3,5.0,SC - consoles_games
294,cool_stuff,GO,29.05,5.0,GO - cool_stuff
295,pet_shop,BA,22.53,5.0,BA - pet_shop
296,stationery,GO,20.62,5.0,GO - stationery
297,home_appliances,MG,19.23,5.0,MG - home_appliances
298,stationery,CE,31.66,5.0,CE - stationery
299,electronics,PE,22.91,5.0,PE - electronics
300,construction_tools_safety,SP,14.34,5.0,SP - construction_tools_safety
301,luggage_accessories,MG,24.42,5.0,MG - luggage_accessories
302,furniture_decor,PI,40.62,5.0,PI - furniture_decor
303,home_appliances,PR,23.43,5.0,PR - home_appliances
304,office_furniture,SC,44.32,5.0,SC - office_furniture
305,bed_bath_table,PA,28.72,5.0,PA - bed_bath_table
306,telephony,SE,23.78,5.0,SE - telephony
307,baby,PA,37.56,5.0,PA - baby
308,office_furniture,PI,63.61,5.0,PI - office_furniture
309,sports_leisure,MS,21.64,5.0,MS - sports_leisure
310,electronics,MS,19.02,5.0,MS - electronics
311,,PE,28.64,5.0,
312,construction_tools_lights,RJ,22.65,5.0,RJ - construction_tools_lights
313,electronics,AL,29.15,5.0,AL - electronics
314,auto,MS,31.33,5.0,MS - auto
315,,ES,16.14,4.0,
316,office_furniture,CE,62.48,4.0,CE - office_furniture
317,stationery,DF,18.73,4.0,DF - stationery
318,garden_tools,PE,34.25,4.0,PE - garden_tools
319,furniture_decor,MS,20.78,4.0,MS - furniture_decor
320,watches_gifts,MT,22.81,4.0,MT - watches_gifts
321,garden_tools,PB,49.27,4.0,PB - garden_tools
322,telephony,DF,15.69,4.0,DF - telephony
323,toys,AL,30.51,4.0,AL - toys
324,home_appliances_2,RJ,35.25,4.0,RJ - home_appliances_2
325,furniture_living_room,MA,190.49,4.0,MA - furniture_living_room
326,furniture_living_room,MG,33.25,4.0,MG - furniture_living_room
327,food,RJ,16.69,4.0,RJ - food
328,toys,DF,21.21,4.0,DF - toys
329,telephony,MT,19.23,4.0,MT - telephony
330,musical_instruments,BA,41.73,4.0,BA - musical_instruments
331,home_construction,MG,25.41,4.0,MG - home_construction
332,computers_accessories,TO,33.34,4.0,TO - computers_accessories
333,fashion_bags_accessories,DF,16.18,4.0,DF - fashion_bags_accessories
334,telephony,MS,16.67,4.0,MS - telephony
335,baby,MA,40.86,4.0,MA - baby
336,audio,BA,18.92,4.0,BA - audio
337,consoles_games,PE,34.15,4.0,PE - consoles_games
338,sports_leisure,PI,37.37,4.0,PI - sports_leisure
339,industry_commerce_and_business,RJ,29.29,4.0,RJ - industry_commerce_and_business
340,electronics,PI,33.07,4.0,PI - electronics
341,housewares,DF,21.78,4.0,DF - housewares
342,furniture_bedroom,SP,34.39,4.0,SP - furniture_bedroom
343,food,MG,16.83,4.0,MG - food
344,home_appliances,DF,23.28,4.0,DF - home_appliances
345,small_appliances,BA,28.65,4.0,BA - small_appliances
346,home_construction,RS,27.13,4.0,RS - home_construction
347,fashion_bags_accessories,ES,17.08,4.0,ES - fashion_bags_accessories
348,watches_gifts,TO,31.67,4.0,TO - watches_gifts
349,housewares,MS,32.79,4.0,MS - housewares
350,auto,SE,39.99,4.0,SE - auto
351,cool_stuff,DF,21.25,4.0,DF - cool_stuff
352,baby,PB,43.68,4.0,PB - baby
353,audio,AL,25.04,4.0,AL - audio
354,perfumery,RN,36.29,4.0,RN - perfumery
355,small_appliances,RS,26.93,4.0,RS - small_appliances
356,housewares,PB,35.97,4.0,PB - housewares
357,consoles_games,MG,16.77,4.0,MG - consoles_games
358,electronics,MT,19.76,4.0,MT - electronics
359,fixed_telephony,SP,12.83,4.0,SP - fixed_telephony
360,kitchen_dining_laundry_garden_furniture,SP,35.81,4.0,SP - kitchen_dining_laundry_garden_furniture
361,auto,AL,35.87,4.0,AL - auto
362,health_beauty,RN,40.21,4.0,RN - health_beauty
363,sports_leisure,AL,33.13,4.0,AL - sports_leisure
364,computers_accessories,PI,34.24,4.0,PI - computers_accessories
365,housewares,SE,30.91,4.0,SE - housewares
366,toys,MS,22.11,3.0,MS - toys
367,home_construction,MS,29.27,3.0,MS - home_construction
368,office_furniture,RS,42.72,3.0,RS - office_furniture
369,pet_shop,PE,37.5,3.0,PE - pet_shop
370,housewares,GO,28.82,3.0,GO - housewares
371,home_confort,RS,21.27,3.0,RS - home_confort
372,housewares,PI,56.55,3.0,PI - housewares
373,musical_instruments,RS,30.99,3.0,RS - musical_instruments
374,food,BA,21.13,3.0,BA - food
375,electronics,MA,30.55,3.0,MA - electronics
376,office_furniture,PE,69.98,3.0,PE - office_furniture
