,product_category_name_english,total_revenue,customer_city
522,auto,3135.9699999999993,taboao da serra
523,garden_tools,3121.9400000000005,sao bernardo do campo
524,health_beauty,3116.370000000001,diadema
525,small_appliances_home_oven_and_coffee,3116.09,rio de janeiro
526,construction_tools_construction,3113.39,santos
527,bed_bath_table,3107.51,sao caetano do sul
528,bed_bath_table,3105.3,limeira
529,costruction_tools_tools,3105.0,sao paulo
530,telephony,3103.17,piracicaba
531,construction_tools_safety,3099.9,divinopolis
532,small_appliances,3091.0,gravatai
533,books_technical,3087.3900000000003,sao paulo
534,housewares,3072.95,rio claro
535,health_beauty,3065.9700000000003,porto velho
536,baby,3056.9700000000003,sao luis
537,musical_instruments,3040.66,salvador
538,perfumery,3036.22,santo andre
539,construction_tools_construction,3035.1600000000003,blumenau
540,baby,3031.5,caxias do sul
541,health_beauty,3024.23,parnamirim
542,auto,3020.9300000000003,niteroi
543,baby,3020.7400000000002,sao bernardo do campo
544,luggage_accessories,3013.7,belo horizonte
545,toys,3007.84,ribeirao preto
546,watches_gifts,3006.9000000000005,limeira
547,consoles_games,3001.87,recife
548,computers,2999.99,angra dos reis
549,computers_accessories,2999.89,monte alegre do sul
550,office_furniture,2997.7400000000002,brasilia
551,computers_accessories,2990.84,sao carlos
552,agro_industry_and_commerce,2990.0,trindade
553,perfumery,2984.5399999999995,ribeirao preto
554,sports_leisure,2977.9500000000003,praia grande
555,telephony,2972.0699999999997,curitiba
556,small_appliances,2971.4,curitiba
557,health_beauty,2969.63,ipatinga
558,toys,2961.95,niteroi
559,food_drink,2957.1500000000005,sao paulo
560,furniture_decor,2955.69,jaragua do sul
561,cool_stuff,2952.79,porto seguro
562,furniture_decor,2949.55,maringa
563,computers_accessories,2947.1899999999996,macae
564,furniture_decor,2946.7800000000007,barueri
565,watches_gifts,2944.78,botucatu
566,telephony,2935.750000000001,recife
567,auto,2932.21,itaquaquecetuba
568,sports_leisure,2926.9500000000003,indaiatuba
569,telephony,2924.529999999999,guarulhos
570,sports_leisure,2920.9200000000005,barra mansa
571,health_beauty,2919.6200000000003,sao goncalo
572,signaling_and_security,2919.4,campo novo do parecis
573,sports_leisure,2916.97,taboao da serra
574,watches_gifts,2916.44,marica
575,art,2914.61,sao paulo
576,watches_gifts,2914.59,volta redonda
577,sports_leisure,2914.5,rondonopolis
578,costruction_tools_garden,2911.7700000000004,sao paulo
579,garden_tools,2904.3500000000004,vitoria
580,computers,2899.8900000000003,bauru
581,health_beauty,2899.68,betim
582,small_appliances_home_oven_and_coffee,2899.0,tubarao
583,sports_leisure,2895.6200000000003,sao luis
584,musical_instruments,2889.0,jaboatao dos guararapes
585,garden_tools,2885.1099999999997,juiz de fora
586,furniture_decor,2879.7700000000004,santa cruz do sul
587,bed_bath_table,2878.34,campo grande
588,bed_bath_table,2875.8000000000006,vila velha
589,watches_gifts,2871.88,batatais
590,garden_tools,2868.99,porto seguro
591,furniture_decor,2866.66,montes claros
592,,2862.99,jatai
593,housewares,2849.060000000001,piracicaba
594,toys,2846.96,fortaleza
595,,2840.5099999999998,salvador
596,consoles_games,2834.5600000000004,maua
597,bed_bath_table,2826.9700000000007,sao carlos
598,auto,2824.7799999999997,porto seguro
599,cool_stuff,2823.84,joao pessoa
600,watches_gifts,2822.0,arapongas
601,agro_industry_and_commerce,2809.0,guaruja
602,sports_leisure,2799.0,mandaguacu
603,furniture_decor,2788.5200000000004,juiz de fora
604,housewares,2788.3400000000006,mogi das cruzes
605,auto,2785.77,ferraz de vasconcelos
606,housewares,2782.67,birigui
607,sports_leisure,2778.28,angra dos reis
608,luggage_accessories,2776.8499999999995,brasilia
609,auto,2766.9300000000003,videira
610,health_beauty,2766.3599999999997,campos dos goytacazes
611,,2765.7700000000004,porto alegre
612,telephony,2763.0,alvares machado
613,watches_gifts,2756.7599999999998,uberaba
614,baby,2749.880000000001,guarulhos
615,garden_tools,2749.0,bertioga
616,computers_accessories,2746.8799999999997,sao caetano do sul
617,watches_gifts,2741.79,betim
618,auto,2741.16,sao luis
619,costruction_tools_garden,2738.31,rio de janeiro
620,home_appliances_2,2733.9,brasilia
621,auto,2733.08,londrina
622,sports_leisure,2731.4700000000003,atibaia
623,furniture_decor,2729.6800000000003,campo grande
624,garden_tools,2724.65,fortaleza
625,musical_instruments,2722.7000000000003,sao bernardo do campo
626,furniture_decor,2722.5699999999997,caxias do sul
627,computers_accessories,2720.66,bauru
628,computers_accessories,2718.6600000000003,teresina
629,bed_bath_table,2717.67,guaruja
630,cool_stuff,2717.61,belem
631,bed_bath_table,2714.38,sao vicente
632,sports_leisure,2713.1200000000003,sao carlos
633,sports_leisure,2709.5,canoas
634,office_furniture,2706.4300000000003,santos
635,housewares,2706.28,belem
636,,2704.0799999999995,goiania
637,computers_accessories,2700.0,ipanema
638,bed_bath_table,2695.04,macae
639,housewares,2692.28,vitoria
640,small_appliances,2690.0,pacatuba
641,baby,2688.7400000000002,sorocaba
642,computers_accessories,2687.0,martinopolis
643,,2684.91,brasilia
644,pet_shop,2682.05,florianopolis
645,sports_leisure,2681.1400000000003,sao caetano do sul
646,computers,2680.0,ibotirama
647,electronics,2676.3,itajai
648,sports_leisure,2675.43,divinopolis
649,health_beauty,2672.150000000001,palmas
650,fashion_bags_accessories,2664.52,curitiba
651,office_furniture,2658.26,porto alegre
652,auto,2657.9,jacobina
653,health_beauty,2650.76,embu das artes
654,computers_accessories,2649.99,gurupi
655,sports_leisure,2647.5299999999997,pelotas
656,home_construction,2640.2799999999997,belo horizonte
657,furniture_decor,2639.8,itapetininga
658,housewares,2639.3100000000004,fortaleza
659,electronics,2638.38,santa luzia
660,auto,2637.0199999999995,bauru
661,computers,2637.0,contagem
662,toys,2632.17,jundiai
